title;link;score
Does an atom recoil when photon radiate?;https://physics.stackexchange.com/questions/498500/does-an-atom-recoil-when-photon-radiate;8
How local gauge invariance explain charge conservation and electromagnetic force appearance?;https://physics.stackexchange.com/questions/608544/how-local-gauge-invariance-explain-charge-conservation-and-electromagnetic-force;0
Vanishing action integral for Gravitation Field;https://physics.stackexchange.com/questions/591015/vanishing-action-integral-for-gravitation-field;1
Generator of Time Shift in Classical and Quantum Mechanics;https://physics.stackexchange.com/questions/566293/generator-of-time-shift-in-classical-and-quantum-mechanics;1
A priori properties of classical Hamiltonian (unitarity in Classical Mechanics);https://physics.stackexchange.com/questions/565803/a-priori-properties-of-classical-hamiltonian-unitarity-in-classical-mechanics;2
Radiation Reaction Force on particle from the principle of least action;https://physics.stackexchange.com/questions/558105/radiation-reaction-force-on-particle-from-the-principle-of-least-action;1
Potential of an infinite charged plate: Poisson's or Laplace's equation?;https://physics.stackexchange.com/questions/544525/potential-of-an-infinite-charged-plate-poissons-or-laplaces-equation;3
What is physical meaning of state getting by acting of Hermitian operator to non-eigenstate?;https://physics.stackexchange.com/questions/446185/what-is-physical-meaning-of-state-getting-by-acting-of-hermitian-operator-to-non;3
Absorption of dark matter by black holes;https://physics.stackexchange.com/questions/509503/absorption-of-dark-matter-by-black-holes;10
Comparison of covariant form of Maxwell equations with Einstein's GR;https://physics.stackexchange.com/questions/450139/comparison-of-covariant-form-of-maxwell-equations-with-einsteins-gr;5
Why do objects reflect laser light?;https://physics.stackexchange.com/questions/506352/why-do-objects-reflect-laser-light;0
Some aspect of covariant derivative of point particle energy-momentum tensor;https://physics.stackexchange.com/questions/483923/some-aspect-of-covariant-derivative-of-point-particle-energy-momentum-tensor;1
Interaction range of fundamental forces at a unification energies;https://physics.stackexchange.com/questions/477569/interaction-range-of-fundamental-forces-at-a-unification-energies;1
Does a charged particle accelerating in a gravitational field radiate?;https://physics.stackexchange.com/questions/21830/does-a-charged-particle-accelerating-in-a-gravitational-field-radiate;67
Pi-bond angular momentum;https://physics.stackexchange.com/questions/387997/pi-bond-angular-momentum;3
Does the Hermitian Operator Reduce the Non-eigenstate State to the Self-Eigenstate?;https://physics.stackexchange.com/questions/446144/does-the-hermitian-operator-reduce-the-non-eigenstate-state-to-the-self-eigensta;2
How do we measure the velocity in curved space-time?;https://physics.stackexchange.com/questions/363452/how-do-we-measure-the-velocity-in-curved-space-time;9
Gravity without force of gravity. What does it mean?;https://physics.stackexchange.com/questions/398249/gravity-without-force-of-gravity-what-does-it-mean;1
Shape of Hydrogen atom in excited state with nonzeros angular momentum;https://physics.stackexchange.com/questions/387723/shape-of-hydrogen-atom-in-excited-state-with-nonzeros-angular-momentum;2
Does energy conserve in de Sitter Universe?;https://physics.stackexchange.com/questions/383013/does-energy-conserve-in-de-sitter-universe;1
Stress–energy pseudotensor of gravitation field for Dark energy;https://physics.stackexchange.com/questions/383180/stress-energy-pseudotensor-of-gravitation-field-for-dark-energy;1
Electric field lines of dielectric sphere in uniform field;https://physics.stackexchange.com/questions/374352/electric-field-lines-of-dielectric-sphere-in-uniform-field;0
3-force in General Relativity;https://physics.stackexchange.com/questions/362824/3-force-in-general-relativity;4
Is the de Sitter Universe static?;https://physics.stackexchange.com/questions/358202/is-the-de-sitter-universe-static;6
Is the de Sitter Universe equivalent to the static Einstein Universe?;https://physics.stackexchange.com/questions/357858/is-the-de-sitter-universe-equivalent-to-the-static-einstein-universe;0
Cherenkov radiation in Schwarzschild metrics;https://physics.stackexchange.com/questions/340010/cherenkov-radiation-in-schwarzschild-metrics;1
Does existence of magnetic monopole break covariant form of Maxwell’s equations for potentials?;https://physics.stackexchange.com/questions/22018/does-existence-of-magnetic-monopole-break-covariant-form-of-maxwell-s-equations;13
Gravimagnetic monopole and General relativity;https://physics.stackexchange.com/questions/28891/gravimagnetic-monopole-and-general-relativity;1
Does the outflowing water create a thrust on the bucket?;https://physics.stackexchange.com/questions/158367/does-the-outflowing-water-create-a-thrust-on-the-bucket;3
Are there any good video lectures for learning general relativity at the level of Hobson?;https://physics.stackexchange.com/questions/87122/are-there-any-good-video-lectures-for-learning-general-relativity-at-the-level-o;4
Are there any models that explain the cause of the dual symmetry-breaking of the in electrodynamics?;https://physics.stackexchange.com/questions/82986/are-there-any-models-that-explain-the-cause-of-the-dual-symmetry-breaking-of-the;3
Magnetic monopole and electromagnetic field quantization procedure;https://physics.stackexchange.com/questions/27755/magnetic-monopole-and-electromagnetic-field-quantization-procedure;18
Does the stress-energy tensor contain the equations of motion?;https://physics.stackexchange.com/questions/20055/does-the-stress-energy-tensor-contain-the-equations-of-motion;8
Does the energy of a magnetic field decrease when it moves a conductor carrying a current?;https://physics.stackexchange.com/questions/1503/does-the-energy-of-a-magnetic-field-decrease-when-it-moves-a-conductor-carrying;2
Homogeneous gravitational field and the geodesic deviation;https://physics.stackexchange.com/questions/51722/homogeneous-gravitational-field-and-the-geodesic-deviation;1
What type of symmetry specifies in presence of what each not-charged particle (for example, neutrino) should have an antiparticle?;https://physics.stackexchange.com/questions/17719/what-type-of-symmetry-specifies-in-presence-of-what-each-not-charged-particle-f;1
The quantum-mechanical description of an electron motion in a magnetic monopole field;https://physics.stackexchange.com/questions/22460/the-quantum-mechanical-description-of-an-electron-motion-in-a-magnetic-monopole;5
Quantum entanglement of spin along multiple orthogonal axes;https://physics.stackexchange.com/questions/22178/quantum-entanglement-of-spin-along-multiple-orthogonal-axes;5
